T,CX 120530 (Condenser He4),T,CX 120536 (EV 4),T,CX 120560 (IC),T,CX 120258 (UC)
4.235,321.65,1.093,987.34,0.313,5330.7,0.271,1706.3
4.235,321.65,1.093,987.38,0.313,5331.1,0.271,1705.7
4.235,321.65,1.093,987.36,0.313,5331.4,0.271,1708.4
4.235,321.65,1.093,987.39,0.313,5332.3,0.271,1708.8
4.235,321.66,1.093,987.39,0.313,5332.3,0.271,1707.4
4.235,321.65,1.093,987.35,0.313,5330.2,0.271,1707.2
4.235,321.66,1.093,987.34,0.313,5330.3,0.271,1709.3
4.235,321.66,1.093,987.35,0.313,5330.3,0.271,1710.1
4.235,321.66,1.093,987.36,0.313,5330.2,0.271,1709.2
4.235,321.66,1.093,987.35,0.313,5330.9,0.271,1706.9
4.235,321.65,1.093,987.56,0.313,5331.1,0.271,1708
4.235,321.66,1.093,987.55,0.313,5331.1,0.271,1704.7
4.235,321.66,1.093,987.56,0.313,5331.1,0.271,1704.9
4.235,321.66,1.093,987.56,0.313,5331.4,0.271,1706.9
4.235,321.66,1.093,987.57,0.313,5330.4,0.271,1708
4.235,321.66,1.093,987.55,0.313,5331.1,0.271,1708.1
4.235,321.66,1.093,987.57,0.313,5346,0.271,1708.3
4.235,321.66,1.093,987.55,0.313,5333.6,0.271,1708.7
4.235,321.66,1.093,987.56,0.313,5337.1,0.271,1709.4
4.235,321.66,1.093,987.54,0.313,5342,0.271,1707.8
4.235,321.65,1.093,987.36,0.313,5332,0.271,1708.5
4.235,321.65,1.093,987.38,0.313,5336,0.271,1707.6
4.235,321.65,1.093,987.41,0.313,5334,0.271,1705.3
4.235,321.65,1.093,987.38,0.313,5332.1,0.271,1707.2
4.235,321.65,1.093,987.48,0.313,5339.1,0.271,1707.2
4.235,321.65,1.093,987.51,0.313,5340.2,0.271,1707.4
4.235,321.65,1.093,987.51,0.313,5349.8,0.271,1708.3
4.235,321.65,1.093,987.49,0.313,5338.1,0.271,1706.3
4.235,321.66,1.093,987.5,0.313,5343,0.271,1706.5
4.235,321.65,1.093,987.46,0.313,5343.7,0.271,1706.9
4.235,321.65,1.093,987.44,0.313,5341,0.271,1709.1
4.235,321.65,1.093,987.48,0.313,5346.2,0.271,1707.4
4.235,321.65,1.093,987.48,0.313,5348,0.271,1710.2
4.235,321.65,1.093,987.41,0.313,5347.8,0.271,1708
4.235,321.65,1.093,987.47,0.313,5344.4,0.271,1709.3
4.235,321.65,1.093,987.55,0.313,5344.7,0.271,1709.3
4.235,321.65,1.093,987.38,0.313,5343.7,0.271,1707.4
4.235,321.66,1.093,987.39,0.313,5343.4,0.271,1709.7
4.235,321.65,1.093,987.5,0.313,5347.2,0.271,1709.7
4.235,321.65,1.093,987.59,0.313,5334.7,0.271,1709.9
4.235,321.65,1.093,987.6,0.313,5335.4,0.271,1709.8
4.235,321.65,1.093,987.57,0.313,5346.8,0.271,1709.9
4.235,321.65,1.093,987.59,0.313,5346.7,0.271,1710.4
